Model,Race,Accuracy,Precision,Recall,ROC-AUC,Confusion Matrix,State
All Races,Hawaiian/Other,0.9424545454545454,0.7270751847023034,0.723929035049762,0.725498699045967,"[[19061   628]
 [  638  1673]]",6.0
White Only,White,0.8987727272727273,0.7144112478031635,0.6607965321051206,0.6865587614356087,"[[17334   975]
 [ 1252  2439]]",6.0
All Races,White,0.8980454545454546,0.7094907407407407,0.6643186128420482,0.6861620260249055,"[[17305  1004]
 [ 1239  2452]]",6.0
White Only,American Indian,0.9312272727272727,0.6984216459977453,0.5588633288227334,0.6208970182911551,"[[19248   535]
 [  978  1239]]",9.0
All Races,American Indian,0.9213636363636364,0.6149126946672959,0.5877311682453766,0.6010147601476015,"[[18967   816]
 [  914  1303]]",9.0
White Only,Asian,0.9422272727272727,0.6897849462365592,0.6489630753667173,0.6687516288767267,"[[19446   577]
 [  694  1283]]",9.0
All Races,Asian,0.9377272727272727,0.6522829904666332,0.6575619625695498,0.654911838790932,"[[19330   693]
 [  677  1300]]",9.0
White Only,Black,0.9381363636363637,0.8092506274650413,0.7313674659753726,0.768340425531915,"[[18382   532]
 [  829  2257]]",9.0
All Races,Black,0.927409090909091,0.7391583681336331,0.7456254050550875,0.7423778028714308,"[[18102   812]
 [  785  2301]]",9.0
White Only,Hawaiian/Other,0.9439090909090909,0.7501161170459824,0.6988316745997404,0.7235663082437276,"[[19151   538]
 [  696  1615]]",9.0
All Races,Hawaiian/Other,0.9361818181818182,0.6895110739657334,0.7139766334919948,0.7015306122448981,"[[18946   743]
 [  661  1650]]",9.0
